"","Year","Quarter","Exchange Rate(AU$1=USD)"
"1","1969","Q3",1.11076666666667
"2","1969","Q4",1.1167
"3","1970","Q1",1.12003333333333
"4","1970","Q2",1.11836666666667
"5","1970","Q3",1.11173333333333
"6","1970","Q4",1.1136
"7","1971","Q1",1.12586666666667
"8","1971","Q2",1.12646666666667
"9","1971","Q3",1.14403333333333
"10","1971","Q4",1.1713
"11","1972","Q1",1.191
"12","1972","Q2",1.191
"13","1972","Q3",1.191
"14","1972","Q4",1.219
"15","1973","Q1",1.36946666666667
"16","1973","Q2",1.4167
"17","1973","Q3",1.4403
"18","1973","Q4",1.4875
"19","1974","Q1",1.4875
"20","1974","Q2",1.4875
"21","1974","Q3",1.42843333333333
"22","1974","Q4",1.3179
"23","1975","Q1",1.3529
"24","1975","Q2",1.33666666666667
"25","1975","Q3",1.2777
"26","1975","Q4",1.2625
"27","1976","Q1",1.25603333333333
"28","1976","Q2",1.2339
"29","1976","Q3",1.2414
"30","1976","Q4",1.10826666666667
"31","1977","Q1",1.0956
"32","1977","Q2",1.10796666666667
"33","1977","Q3",1.11173333333333
"34","1977","Q4",1.1308
"35","1978","Q1",1.13926666666667
"36","1978","Q2",1.13796666666667
"37","1978","Q3",1.1546
"38","1978","Q4",1.15863333333333
"39","1979","Q1",1.12663333333333
"40","1979","Q2",1.10943333333333
"41","1979","Q3",1.12946666666667
"42","1979","Q4",1.09903333333333
"43","1980","Q1",1.09623333333333
"44","1980","Q2",1.13823333333333
"45","1980","Q3",1.16236666666667
"46","1980","Q4",1.17253333333333
"47","1981","Q1",1.16523333333333
"48","1981","Q2",1.14566666666667
"49","1981","Q3",1.1426
"50","1981","Q4",1.1381
"51","1982","Q1",1.07456666666667
"52","1982","Q2",1.04376666666667
"53","1982","Q3",0.9698
"54","1982","Q4",0.957366666666667
"55","1983","Q1",0.931766666666667
"56","1983","Q2",0.874833333333333
"57","1983","Q3",0.885333333333333
"58","1983","Q4",0.910266666666667
"59","1984","Q1",0.9319
"60","1984","Q2",0.893533333333333
"61","1984","Q3",0.837266666666667
"62","1984","Q4",0.845366666666667
"63","1985","Q1",0.744633333333333
"64","1985","Q2",0.6586
"65","1985","Q3",0.712733333333333
"66","1985","Q4",0.6887
"67","1986","Q1",0.709533333333333
"68","1986","Q2",0.710966666666667
"69","1986","Q3",0.6113
"70","1986","Q4",0.651866666666667
"71","1987","Q1",0.6803
"72","1987","Q2",0.712933333333333
"73","1987","Q3",0.709866666666667
"74","1987","Q4",0.701133333333333
"75","1988","Q1",0.724133333333333
"76","1988","Q2",0.785866666666667
"77","1988","Q3",0.7981
"78","1988","Q4",0.853066666666667
"79","1989","Q1",0.836
"80","1989","Q2",0.7655
"81","1989","Q3",0.7648
"82","1989","Q4",0.785766666666667
"83","1990","Q1",0.761466666666667
"84","1990","Q2",0.769666666666667
"85","1990","Q3",0.810933333333333
"86","1990","Q4",0.7775
"87","1991","Q1",0.781733333333333
"88","1991","Q2",0.770233333333333
"89","1991","Q3",0.787266666666667
"90","1991","Q4",0.7761
"91","1992","Q1",0.7576
"92","1992","Q2",0.755666666666667
"93","1992","Q3",0.723866666666667
"94","1992","Q4",0.688566666666667
"95","1993","Q1",0.693366666666667
"96","1993","Q2",0.6869
"97","1993","Q3",0.6665
"98","1993","Q4",0.665266666666667
"99","1994","Q1",0.709933333333333
"100","1994","Q2",0.725866666666667
"101","1994","Q3",0.740366666666667
"102","1994","Q4",0.762133333333333
"103","1995","Q1",0.741933333333333
"104","1995","Q2",0.717433333333333
"105","1995","Q3",0.748766666666667
"106","1995","Q4",0.7495
"107","1996","Q1",0.7625
"108","1996","Q2",0.7909
"109","1996","Q3",0.785466666666667
"110","1996","Q4",0.7997
"111","1997","Q1",0.774766666666667
"112","1997","Q2",0.762633333333333
"113","1997","Q3",0.733133333333333
"114","1997","Q4",0.678866666666667
"115","1998","Q1",0.669066666666667
"116","1998","Q2",0.629
"117","1998","Q3",0.591633333333333
"118","1998","Q4",0.624166666666667
"119","1999","Q1",0.6268
"120","1999","Q2",0.656166666666667
"121","1999","Q3",0.647833333333333
"122","1999","Q4",0.645333333333333
"123","2000","Q1",0.619333333333333
"124","2000","Q2",0.587666666666667
"125","2000","Q3",0.566766666666667
"126","2000","Q4",0.5305
"127","2001","Q1",0.5202
"128","2001","Q2",0.508766666666667
"129","2001","Q3",0.5102
"130","2001","Q4",0.511966666666667
"131","2002","Q1",0.5186
"132","2002","Q2",0.5573
"133","2002","Q3",0.548166666666667
"134","2002","Q4",0.560133333333333
"135","2003","Q1",0.599133333333333
"136","2003","Q2",0.647533333333333
"137","2003","Q3",0.657666666666667
"138","2003","Q4",0.725066666666667
"139","2004","Q1",0.7647
"140","2004","Q2",0.7084
"141","2004","Q3",0.7048
"142","2004","Q4",0.767533333333333
"143","2005","Q1",0.778933333333333
"144","2005","Q2",0.766833333333333
"145","2005","Q3",0.756033333333333
"146","2005","Q4",0.740433333333333
"147","2006","Q1",0.735033333333333
"148","2006","Q2",0.7537
"149","2006","Q3",0.758833333333333
"150","2006","Q4",0.781833333333333
"151","2007","Q1",0.789
"152","2007","Q2",0.8333
"153","2007","Q3",0.853766666666667
"154","2007","Q4",0.896566666666667
"155","2008","Q1",0.917666666666667
"156","2008","Q2",0.950733333333333
"157","2008","Q3",0.868966666666667
"158","2008","Q4",0.672666666666667
"159","2009","Q1",0.658833333333333
"160","2009","Q2",0.776366666666667
"161","2009","Q3",0.849166666666667
"162","2009","Q4",0.910266666666667
"163","2010","Q1",0.8989
"164","2010","Q2",0.8771
"165","2010","Q3",0.919033333333333
"166","2010","Q4",0.984733333333333
"167","2011","Q1",1.01403333333333
"168","2011","Q2",1.07826666666667
"169","2011","Q3",1.04753333333333
"170","2011","Q4",1.02286666666667
"171","2012","Q1",1.06183333333333
"172","2012","Q2",1.01236666666667
"173","2012","Q3",1.04303333333333
"174","2012","Q4",1.03976666666667
"175","2013","Q1",1.0365
"176","2013","Q2",0.9764
"177","2013","Q3",0.909766666666667
"178","2013","Q4",0.9175
"179","2014","Q1",0.8977
"180","2014","Q2",0.9342
"181","2014","Q3",0.914166666666667
"182","2014","Q4",0.849933333333333
"183","2015","Q1",0.773566666666667
"184","2015","Q2",0.777466666666667
"185","2015","Q3",0.7151
"186","2015","Q4",0.7198
"187","2016","Q1",0.7299
"188","2016","Q2",0.7441
"189","2016","Q3",0.755533333333333
"190","2016","Q4",0.7441
"191","2017","Q1",0.7633
"192","2017","Q2",0.7539
"193","2017","Q3",0.7908
"194","2017","Q4",0.7686
"195","2018","Q1",0.784333333333333
